Carpeta,Imagen,Valvula_de_expansion,Compresor,Condensador
FALLA ALTA,43,0.58,2.98,0.93
FALLA ALTA,44,0.62,3.06,0.97
FALLA ALTA,45,0.79,3.29,1.13
FALLA ALTA,46,0.91,3.50,1.25
FALLA ALTA,47,0.44,3.10,0.71
FALLA ALTA,48,0.40,3.14,0.69
FALLA ALTA,49,0.56,3.43,0.93
FALLA ALTA,50,0.58,3.51,0.92
FALLA ALTA,51,0.62,3.62,0.96
FALLA ALTA,52,0.57,3.65,0.89
FALLA ALTA,53,0.72,3.86,1.09
FALLA ALTA,54,0.52,3.78,0.89
FALLA ALTA,55,0.62,4.00,1.06
FALLA ALTA,56,0.96,4.35,1.35
FALLA ALTA,57,0.70,4.21,1.07
FALLA ALTA,58,0.69,4.19,0.97
FALLA ALTA,59,0.63,4.21,0.93
FALLA ALTA,60,0.94,4.62,1.17
FALLA BAJA,1,0.00,0.00,0.00
FALLA BAJA,2,-0.05,-0.10,0.06
FALLA BAJA,3,0.82,0.01,2.02
FALLA BAJA,4,1.41,0.27,2.52
FALLA BAJA,5,1.44,0.31,2.40
FALLA BAJA,6,0.99,-0.13,1.74
FALLA BAJA,7,0.90,-0.25,1.48
FALLA BAJA,8,1.09,-0.02,1.59
FALLA BAJA,9,0.87,-0.15,1.26
FALLA BAJA,10,1.00,-0.02,1.31
FALLA BAJA,11,1.03,0.05,1.23
FALLA BAJA,12,0.96,0.07,1.18
FALLA BAJA,13,0.60,-0.21,0.75
FALLA BAJA,14,0.62,-0.13,0.74
FALLA BAJA,15,0.65,-0.08,0.72
FALLA BAJA,16,0.56,-0.08,0.61
FALLA BAJA,17,0.46,-0.21,0.45
FALLA BAJA,18,0.53,-0.04,0.55
FALLA BAJA,19,0.52,-0.01,0.52
FALLA BAJA,20,0.66,0.20,0.65
FALLA BAJA,21,0.42,0.13,0.49
FALLA BAJA,22,0.48,0.23,0.59
FALLA BAJA,23,0.51,0.39,0.59
FALLA BAJA,24,0.50,0.51,0.62
FALLA BAJA,25,0.59,0.75,0.72
FALLA BAJA,26,0.37,0.47,0.37
FALLA BAJA,27,0.33,0.54,0.32
FALLA BAJA,28,0.29,0.61,0.33
FALLA BAJA,29,0.34,0.77,0.35
FALLA BAJA,30,0.44,0.94,0.46
FALLA BAJA,31,0.05,0.73,0.11
FALLA BAJA,32,-0.08,0.68,-0.07
FALLA BAJA,33,-0.02,0.89,0.06
FALLA BAJA,34,0.12,1.09,0.17
FALLA BAJA,35,0.05,1.19,0.17
FALLA BAJA,36,0.17,1.34,0.27
FALLA BAJA,37,0.26,1.54,0.35
FALLA BAJA,38,0.30,1.65,0.40
FALLA BAJA,39,0.38,1.86,0.49
FALLA BAJA,40,0.42,2.01,0.57
FALLA BAJA,41,0.16,1.88,0.38
FALLA BAJA,42,0.29,2.04,0.48
FALLA BAJA,43,0.19,2.06,0.38
FALLA BAJA,44,0.33,2.31,0.51
FALLA BAJA,45,0.21,2.29,0.41
FALLA BAJA,46,0.01,2.24,0.27
FALLA BAJA,47,0.23,2.44,0.42
FALLA BAJA,48,0.17,2.44,0.35
FALLA BAJA,49,0.35,2.72,0.60
FALLA BAJA,50,0.29,2.73,0.50
FALLA BAJA,51,0.38,2.95,0.68
FALLA BAJA,52,0.37,2.96,0.57
FALLA BAJA,53,0.67,3.37,0.94
FALLA BAJA,54,0.55,3.35,0.78
FALLA BAJA,55,0.48,3.36,0.74
FALLA BAJA,56,0.72,3.57,0.91
FALLA BAJA,57,0.88,3.78,1.09
FALLA BAJA,58,0.22,3.20,0.42
FALLA BAJA,59,0.49,3.60,0.76
FALLA BAJA,60,0.27,3.40,0.48
SANO,1,0.00,0.00,0.00
SANO,2,-0.12,-0.15,1.45
SANO,3,0.00,-0.12,1.73
SANO,4,-0.47,-0.15,1.60
SANO,5,-1.56,-0.07,1.73
SANO,6,-2.15,0.01,1.80
SANO,7,-2.32,0.03,1.86
SANO,8,-2.51,0.04,1.69
SANO,9,-2.92,-0.27,1.32
SANO,10,-2.94,-0.08,1.44
SANO,11,-2.71,0.37,1.77
SANO,12,-2.67,0.70,1.97
SANO,13,-2.95,0.78,1.81
SANO,14,-2.97,1.08,1.93
SANO,15,-2.88,1.59,2.22
SANO,16,-2.96,1.91,2.25
SANO,17,-3.17,2.08,2.15
SANO,18,-3.14,2.43,2.26
SANO,19,-3.29,2.63,2.18
SANO,20,-3.30,2.92,2.22
SANO,21,-3.25,3.26,2.41
SANO,22,-3.16,3.79,2.65
SANO,23,-2.96,4.31,2.86
SANO,24,-3.02,4.57,2.91
SANO,25,-3.09,4.86,3.00
SANO,26,-2.79,5.39,3.30
SANO,27,-3.32,5.31,2.94
SANO,28,-3.28,5.53,2.91
SANO,29,-3.09,5.98,3.10
SANO,30,-3.18,6.25,3.14
SANO,31,-3.21,6.42,3.07
SANO,32,-3.13,6.80,3.20
SANO,33,-2.96,7.15,3.39
SANO,34,-2.85,7.42,3.50
SANO,35,-2.70,7.76,3.70
SANO,36,-2.68,8.06,3.79
SANO,37,-2.95,7.87,3.46
SANO,38,-2.89,8.11,3.56
SANO,39,-2.95,8.19,3.51
SANO,40,-2.97,8.44,3.62
SANO,41,-2.96,8.62,3.59
SANO,42,-2.93,8.90,3.67
SANO,43,-3.00,9.10,3.64
SANO,44,-2.86,9.37,3.80
SANO,45,-2.81,9.53,4.03
SANO,46,-2.62,9.81,4.13
SANO,47,-2.62,9.87,4.14
SANO,48,-2.73,9.87,4.06
SANO,49,-2.68,10.02,4.08
SANO,50,-2.70,10.10,4.09
SANO,51,-2.69,10.22,4.29
SANO,52,-2.84,10.22,4.20
SANO,53,-2.51,10.40,4.45
SANO,54,-2.50,10.44,4.45
SANO,55,-2.54,10.49,4.64
SANO,56,-2.61,10.52,4.63
SANO,57,-2.63,10.59,4.75
SANO,58,-2.49,10.67,4.62
SANO,59,-2.44,10.67,4.56
SANO,60,-2.51,10.64,4.57
