Carpeta,Imagen,Valvula_de_expansion,Compresor,Condensador
LOW FAULT,27,0.33,0.54,0.32
LOW FAULT,28,0.29,0.61,0.33
LOW FAULT,29,0.34,0.77,0.35
LOW FAULT,30,0.44,0.94,0.46
LOW FAULT,31,0.05,0.73,0.11
LOW FAULT,32,-0.08,0.68,-0.07
LOW FAULT,33,-0.02,0.89,0.06
LOW FAULT,34,0.12,1.09,0.17
LOW FAULT,35,0.05,1.19,0.17
LOW FAULT,36,0.17,1.34,0.27
LOW FAULT,37,0.26,1.54,0.35
LOW FAULT,38,0.3,1.65,0.4
LOW FAULT,39,0.38,1.86,0.49
LOW FAULT,40,0.42,2.01,0.57
LOW FAULT,41,0.16,1.88,0.38
LOW FAULT,42,0.29,2.04,0.48
LOW FAULT,43,0.19,2.06,0.38
LOW FAULT,44,0.33,2.31,0.51
LOW FAULT,45,0.21,2.29,0.41
LOW FAULT,46,0.01,2.24,0.27
LOW FAULT,47,0.23,2.44,0.42
LOW FAULT,48,0.17,2.44,0.35
LOW FAULT,49,0.35,2.72,0.6
LOW FAULT,50,0.29,2.73,0.5
LOW FAULT,51,0.38,2.95,0.68
LOW FAULT,52,0.37,2.96,0.57
LOW FAULT,53,0.67,3.37,0.94
LOW FAULT,54,0.55,3.35,0.78
LOW FAULT,55,0.48,3.36,0.74
LOW FAULT,56,0.72,3.57,0.91
LOW FAULT,57,0.88,3.78,1.09
LOW FAULT,58,0.22,3.2,0.42
LOW FAULT,59,0.49,3.6,0.76
LOW FAULT,60,0.27,3.4,0.48
HEALTHY,1,0.0,0.0,0.0
HEALTHY,2,-0.12,-0.15,1.45
HEALTHY,3,0.0,-0.12,1.73
HEALTHY,4,-0.47,-0.15,1.6
HEALTHY,5,-1.56,-0.07,1.73
HEALTHY,6,-2.15,0.01,1.8
HEALTHY,7,-2.32,0.03,1.86
HEALTHY,8,-2.51,0.04,1.69
HEALTHY,9,-2.92,-0.27,1.32
HEALTHY,10,-2.94,-0.08,1.44
HEALTHY,11,-2.71,0.37,1.77
HEALTHY,12,-2.67,0.7,1.97
HEALTHY,13,-2.95,0.78,1.81
HEALTHY,14,-2.97,1.08,1.93
HEALTHY,15,-2.88,1.59,2.22
HEALTHY,16,-2.96,1.91,2.25
HEALTHY,17,-3.17,2.08,2.15
HEALTHY,18,-3.14,2.43,2.26
HEALTHY,19,-3.29,2.63,2.18
HEALTHY,20,-3.3,2.92,2.22
HEALTHY,21,-3.25,3.26,2.41
HEALTHY,22,-3.16,3.79,2.65
HEALTHY,23,-2.96,4.31,2.86
HEALTHY,24,-3.02,4.57,2.91
HEALTHY,25,-3.09,4.86,3.0
HEALTHY,26,-2.79,5.39,3.3
HEALTHY,27,-3.32,5.31,2.94
HEALTHY,28,-3.28,5.53,2.91
HEALTHY,29,-3.09,5.98,3.1
HEALTHY,30,-3.18,6.25,3.14
HEALTHY,31,-3.21,6.42,3.07
HEALTHY,32,-3.13,6.8,3.2
HEALTHY,33,-2.96,7.15,3.39
HEALTHY,34,-2.85,7.42,3.5
HEALTHY,35,-2.7,7.76,3.7
HEALTHY,36,-2.68,8.06,3.79
HEALTHY,37,-2.95,7.87,3.46
HEALTHY,38,-2.89,8.11,3.56
HEALTHY,39,-2.95,8.19,3.51
HEALTHY,40,-2.97,8.44,3.62
HEALTHY,41,-2.96,8.62,3.59
HEALTHY,42,-2.93,8.9,3.67
HEALTHY,43,-3.0,9.1,3.64
HEALTHY,44,-2.86,9.37,3.8
HEALTHY,45,-2.81,9.53,4.03
HEALTHY,46,-2.62,9.81,4.13
HEALTHY,47,-2.62,9.87,4.14
HEALTHY,48,-2.73,9.87,4.06
HEALTHY,49,-2.68,10.02,4.08
HEALTHY,50,-2.7,10.1,4.09
HEALTHY,51,-2.69,10.22,4.29
HEALTHY,52,-2.84,10.22,4.2
HEALTHY,53,-2.51,10.4,4.45
HEALTHY,54,-2.5,10.44,4.45
HEALTHY,55,-2.54,10.49,4.64
HEALTHY,56,-2.61,10.52,4.63
HEALTHY,57,-2.63,10.59,4.75
HEALTHY,58,-2.49,10.67,4.62
HEALTHY,59,-2.44,10.67,4.56
HEALTHY,60,-2.51,10.64,4.57
